Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Electricity - Single-Rate ,UR,RO,October 2022 - December 2022,2022-10-01,2022-12-01,25.96408
All,Electricity - Single-Rate ,UR,FiT,October 2022 - December 2022,2022-10-01,2022-12-01,5.6258217510753665
All,Electricity - Single-Rate ,UR,ECO,October 2022 - December 2022,2022-10-01,2022-12-01,5.24117789946601
All,Electricity - Single-Rate ,SC,WHD,October 2022 - December 2022,2022-10-01,2022-12-01,9.950486379774244
All,Electricity - Single-Rate ,UR,WHD (unit rate),October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,October 2022 - December 2022,2022-10-01,2022-12-01,0.40669999999999995
All,Electricity - Single-Rate ,UR,NCC,October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Electricity - Multi-Register ,UR,RO,October 2022 - December 2022,2022-10-01,2022-12-01,25.96408
All,Electricity - Multi-Register ,UR,FiT,October 2022 - December 2022,2022-10-01,2022-12-01,5.6258217510753665
All,Electricity - Multi-Register ,UR,ECO,October 2022 - December 2022,2022-10-01,2022-12-01,5.24117789946601
All,Electricity - Multi-Register ,SC,WHD,October 2022 - December 2022,2022-10-01,2022-12-01,9.950486379774244
All,Electricity - Multi-Register ,UR,WHD (unit rate),October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,October 2022 - December 2022,2022-10-01,2022-12-01,0.40669999999999995
All,Electricity - Multi-Register ,UR,NCC,October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Gas,UR,ECO,October 2022 - December 2022,2022-10-01,2022-12-01,1.7360420655827042
All,Gas,SC,WHD,October 2022 - December 2022,2022-10-01,2022-12-01,9.950486379774244
All,Gas,UR,WHD (unit rate),October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Gas,SC,GGL,October 2022 - December 2022,2022-10-01,2022-12-01,2.6928799999999997
All,Electricity - Single-Rate ,UR,RO,January 2023 - March 2023,2023-01-01,2023-03-01,25.96408
All,Electricity - Single-Rate ,UR,FiT,January 2023 - March 2023,2023-01-01,2023-03-01,5.6258217510753665
All,Electricity - Single-Rate ,UR,ECO,January 2023 - March 2023,2023-01-01,2023-03-01,5.24117789946601
All,Electricity - Single-Rate ,SC,WHD,January 2023 - March 2023,2023-01-01,2023-03-01,9.950486379774244
All,Electricity - Single-Rate ,UR,WHD (unit rate),January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,January 2023 - March 2023,2023-01-01,2023-03-01,0.40669999999999995
All,Electricity - Single-Rate ,UR,NCC,January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Electricity - Multi-Register ,UR,RO,January 2023 - March 2023,2023-01-01,2023-03-01,25.96408
All,Electricity - Multi-Register ,UR,FiT,January 2023 - March 2023,2023-01-01,2023-03-01,5.6258217510753665
All,Electricity - Multi-Register ,UR,ECO,January 2023 - March 2023,2023-01-01,2023-03-01,5.24117789946601
All,Electricity - Multi-Register ,SC,WHD,January 2023 - March 2023,2023-01-01,2023-03-01,9.950486379774244
All,Electricity - Multi-Register ,UR,WHD (unit rate),January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,January 2023 - March 2023,2023-01-01,2023-03-01,0.40669999999999995
All,Electricity - Multi-Register ,UR,NCC,January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Gas,UR,ECO,January 2023 - March 2023,2023-01-01,2023-03-01,1.7360420655827042
